Kualitas Beras,,,,,,,,,,,,
,Rata-Rata Harga Beras Bulanan di Tingkat Penggilingan Menurut Kualitas (Rupiah/Kg),,,,,,,,,,,
,2021,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Premium,9780.19,9772.1,9606.97,9549.76,9627.08,9537.16,9401.61,9499.36,9455.56,9449.47,9539.29,9672.54
Medium,9404.74,9386.31,9153.68,8978.86,8909.5,8906.67,8886.9,8915.75,8962.39,9010.82,9071.94,9128.44
Rendah/Luar Kualitas1,9036.42,9145.73,8741.8,8675.23,8710.44,8694.95,8481.43,8688.77,8588.59,8630.83,8711.19,8888.5
